type,name,latitude,longitude
clinic,صفوة المهيدب لطب الاسنان الدمام الفيصلية,26.379321,50.058898
clinic,عيادات رام الطبي فرع الفيصلية,26.397141,50.068088
clinic,مجمع بسيم الطبي التخصصي الرقمي Bassim,26.395448,50.041464
clinic,عيادة ضحكة صبا للأسنان والجلدية,26.458571,50.090134
clinic,مجمع توبال لطب الاسنان والجلدية,26.380295,50.057226
clinic,مجمع بسمات الشرقية الطبي - عنك (القطيف),26.51586,50.034725
clinic,عيادات الماس لطب وتقويم الأسنان,26.398291,50.068106
clinic,Ozone Medical Clinic,26.366276,50.048375
clinic,مجمع العناية لطب الأسنان,26.45853,50.119749
clinic,Ram Clinics | عيادات رام,26.534747,50.026436
clinic,مركز اضواء الحكمة لطب وتقويم الاسنان,26.437089,50.090581
clinic,عيادات زارا لطب الاسنان ZARA DENTAL CLINICS,26.367323,50.068091
clinic,Maple Clinics | عيادات ميبل لطب الأسنان,26.412535,50.096252
clinic,Mazsaf Dental Clinics,26.456837,50.123984
hospital,Erada Complex and Mental Health - Dammam,26.36326,50.026195
hospital,مستشفى الدمام ..الخدمات المساندة,26.431455,50.082597
hospital,المستشفى المركزي,26.431946,50.082544
hospital,مركز داركوف للتأهيل الطبي,26.491235,50.042346
hospital,Imam Abdulrahman Bin Faisal University Hospital,26.376652,50.193987
hospital,مركز العيون بمجمع الدمام الطبي,26.430492,50.083552
hospital,Mada dental center,26.434817,50.085049
hospital,"VIP Tent, King Fahad Specialist Hospital - Dammam",26.410699,50.098718
hospital,‏مركز الأسنان التخصصي / مركز التأهيل الطبي,26.430902,50.084438
hospital,Blood Bank @ KFSH,26.409778,50.09926
hospital,المركز الاقليمى لمراقبة السموم بالدمام,26.430229,50.084181
hospital,Dammam central hospital convinience store,26.431314,50.084932
hospital,Eastern Health Cluster Dammam,26.416079,50.064972
hospital,Almana Dammam Hospital Parking,26.412161,50.115429
hospital,العيادات الخارجية مبنى 3,26.412435,50.099872
pharmacy,صيدلية الدواء,26.46129,50.076393
pharmacy,صيدلية الدواء,26.466109,50.081221
pharmacy,صيدلية الدواء,26.451959,50.074915
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.455016,50.089014
pharmacy,صيدلية الدواء,26.452977,50.096421
pharmacy,صيدلية الدواء,26.43119,50.067647
pharmacy,صيدلية وهج,26.456035,50.092016
pharmacy,صيدلية الدواء,26.458687,50.083354
pharmacy,صيدلية الدواء,26.436618,50.035068
pharmacy,صيدلية الدواء,26.442462,50.121072
pharmacy,صيدلية الدواء,26.433969,50.045072
pharmacy,صيدلية الدواء,26.4284,50.038414
clinic,مجمع عيادات المركز السعودي الصيني بالدمام,26.456887,50.11582
clinic,مجمع الحقيل الطبي الرقمي التخصصي - الدمام,26.405595,50.101753
clinic,عيادة الفن الثامن البيطرية الدمام Art 8 Vet Clinic Dammam,26.423474,50.117854
clinic,كوزمو دكتور,26.458795,50.09103
clinic,رام للاسنان والجلدية,26.469894,50.059719
mall,Al Othaim Mall Dammam,26.399964,50.116563
mall,Westfield Dammam وجهتك المفضلة,26.391591,50.037597
mall,Dareen Mall,26.461301,50.064939
mall,Hayat plaza,26.442247,50.066983
mall,AlHaram Plaza Dammam,26.45153,50.063829
