city_ar,district_ar,property_type_ar,growth_pct,growth_source,growth_confidence,yoy_growth_last_year_pct,yoy_volatility_3y,last_year
الدمام,الدمام/ الواحة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ الواحة,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,الدمام/ بدر,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ بدر,قطعة أرض-زراعي,0.0,default,low,,,
الدمام,الدمام/ بدر,قطعة أرض-سكنى,-8.0,district,high,-8.0,0.0,2026.0
الدمام,الدمام/ بن خلدون,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ بن خلدون,قطعة أرض-سكنى,13.48,district,high,13.48,0.0,2026.0
الدمام,الدمام/ شاطئ نصف القمر,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ شاطئ نصف القمر,قطعة أرض-سكنى,3.38,district,high,3.38,0.0,2026.0
الدمام,الدمام/ طيبة,قطعة أرض-تجارى,17.28,district,high,17.28,0.0,2026.0
الدمام,الدمام/ طيبة,قطعة أرض-زراعي,0.0,default,low,,,
الدمام,الدمام/ طيبة,قطعة أرض-سكنى,-9.23,district,high,-9.23,0.0,2026.0
الدمام,الدمام/ غرب الدمام,قطعة أرض-تجارى,-23.33,district,high,-23.33,0.0,2026.0
الدمام,الدمام/ غرب الدمام,قطعة أرض-زراعي,0.0,default,low,,,
الدمام,الدمام/ غرب الدمام,قطعة أرض-سكنى,-31.0,district,high,-31.0,0.0,2026.0
الدمام,الدمام/ غرناطة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ غرناطة,قطعة أرض-زراعي,0.0,default,low,,,
الدمام,الدمام/ غرناطة,قطعة أرض-سكنى,-33.58,district,high,-33.58,0.0,2026.0
الدمام,الدمام/ مدينة العمال,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ مدينة العمال,قطعة أرض-سكنى,24.07,district,high,24.07,0.0,2026.0
